Video ID,Video Title,Published Date,Published Time,Views Count,Comments Count,Likes Count,Hashtags,Is Private
dDD371tK7Ns,Why Australia MUST tour Pakistan & Tendulkar suggests rule change I The Ashes I Fox Cricket,2022-01-08,03:51:35Z,684933,1485,10769,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Shane Warne', 'Sachin Tendulkar', 'Michael Vaughan', 'The Ashes', 'Pakistan', 'India', 'England']",False
6GUKBe6Y0dw,Khawaja explains the significance of playing in Pakistan & weirdest bowling actions I Fox Cricket,2022-01-09,02:46:20Z,216003,442,4691,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Pakistan', 'Usman Khawaja', 'Michael Vaughan', 'India', ""Kerry O'Keeffe"", 'The Ashes', 'Lasith Malinga', 'Sri Lanka']",False
Mhb8sQoumjA,Warnie’s favourite commentary moment | Summer of Spin,2022-01-13,22:19:15Z,12835,17,335,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Shane Warne', 'Ashes', 'Peter Siddle']",False
9Tudt_SwlLY,"The Ashes | The Great Escape: Brett Lee relives Edgbaston, 2005 | Fox Cricket",2022-02-07,03:39:33Z,6193,9,215,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
Oi2SdV3DF0s,Pakistan's tactics - Smart or bad for cricket? I Khawaja's special ton I Sad Marnus I Fox Cricket,2022-03-13,05:18:40Z,80229,94,1478,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Pakistan', 'Australia', 'Babar Azam', 'Steve Smith', 'Usman Khawaja', 'Marnus Labuschagne']",False
ONUELwbvGIc,Success in Pakistan = success in India for Aussies? I How to get the ball to reverse I Fox Cricket,2022-03-15,05:50:24Z,65731,545,1380,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Pakistan', 'India', 'Reverse swing']",False
cQORhPzUUw8,"""Bamboozled Us!"" Nasser Hussain pays the perfect tribute to Shane Warne | Fox Cricket",2022-03-30,12:28:15Z,119539,110,1440,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
okvbbkWUbg4,Alyssa Healy's unique Cricket World Cup celebrations | FOX Cricket | The Back Page,2022-04-13,02:29:08Z,13460,23,247,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
eoOajHWxMkA,"David Warner opens up on his IPL resurgence, Pant & Ponting’s leadership & Afridi confrontation",2022-05-25,09:30:05Z,90669,89,2529,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'India', 'IPL', 'Indian Premier League', 'David Warner', 'Ricky Ponting', 'Rishabh Pant', 'Delhi Capitals', 'Sunrisers Hyderabad', 'Pakistan', 'Shaheen Shah Afridi', 'Andrew Symonds']",False
noVoAndsoCM,Handscomb dominates WA to the tune of 281* | Sheffield Shield,2022-10-20,06:00:14Z,11219,14,227,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
