Serial,Event,Code Province,Code District,Code Division,Date (YMD),Duration (d),Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,Damages in roads Mts
FL2010,FLOOD,lka001,lka001002,lka001002018,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,1526,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,35,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,152,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,400,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,808,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,3/10/2010,0,0.0,0.0,0.0,0.0,0,0,425,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,1756,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1505,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,2100,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,751,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,4118,0,0,0,0,0,0,0.0,0,0
